INFO 2025-09-25 07:32:40,031 autoreload 22872 8604131520 Watching for file changes with StatReloader
WARNING 2025-09-25 07:33:18,228 log 22872 6136754176 Unauthorized: /api/v1/results/stats/
WARNING 2025-09-25 07:33:18,228 basehttp 22872 13035925504 "GET /api/v1/devices/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,228 basehttp 22872 6170406912 "GET /api/v1/tasks/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,228 basehttp 22872 13069578240 "GET /api/v1/alerts/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,230 log 22872 13052751872 Unauthorized: /api/v1/tasks/stats/
WARNING 2025-09-25 07:33:18,231 log 22872 6153580544 Unauthorized: /api/v1/devices/stats/
WARNING 2025-09-25 07:33:18,233 log 22872 13035925504 Unauthorized: /api/v1/alerts/stats/
WARNING 2025-09-25 07:33:18,233 basehttp 22872 6136754176 "GET /api/v1/results/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,235 log 22872 13069578240 Unauthorized: /api/v1/results/stats/
WARNING 2025-09-25 07:33:18,236 basehttp 22872 13052751872 "GET /api/v1/tasks/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,236 basehttp 22872 6153580544 "GET /api/v1/devices/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,237 basehttp 22872 13035925504 "GET /api/v1/alerts/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,237 basehttp 22872 13069578240 "GET /api/v1/results/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,341 log 22872 13069578240 Unauthorized: /api/v1/devices/stats/
WARNING 2025-09-25 07:33:18,343 log 22872 13035925504 Unauthorized: /api/v1/tasks/stats/
WARNING 2025-09-25 07:33:18,344 log 22872 6153580544 Unauthorized: /api/v1/alerts/stats/
WARNING 2025-09-25 07:33:18,345 log 22872 13052751872 Unauthorized: /api/v1/results/stats/
WARNING 2025-09-25 07:33:18,345 basehttp 22872 13069578240 "GET /api/v1/devices/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,345 basehttp 22872 13035925504 "GET /api/v1/tasks/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,346 basehttp 22872 6153580544 "GET /api/v1/alerts/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,347 log 22872 6136754176 Unauthorized: /api/v1/devices/stats/
WARNING 2025-09-25 07:33:18,348 log 22872 6170406912 Unauthorized: /api/v1/tasks/stats/
WARNING 2025-09-25 07:33:18,349 log 22872 13069578240 Unauthorized: /api/v1/alerts/stats/
WARNING 2025-09-25 07:33:18,350 basehttp 22872 13052751872 "GET /api/v1/results/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,351 log 22872 6153580544 Unauthorized: /api/v1/results/stats/
WARNING 2025-09-25 07:33:18,352 basehttp 22872 6136754176 "GET /api/v1/devices/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,352 basehttp 22872 13069578240 "GET /api/v1/alerts/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,352 basehttp 22872 6153580544 "GET /api/v1/results/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,353 basehttp 22872 6170406912 "GET /api/v1/tasks/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,461 log 22872 6153580544 Unauthorized: /api/v1/devices/stats/
WARNING 2025-09-25 07:33:18,462 log 22872 6170406912 Unauthorized: /api/v1/tasks/stats/
WARNING 2025-09-25 07:33:18,463 log 22872 13069578240 Unauthorized: /api/v1/alerts/stats/
WARNING 2025-09-25 07:33:18,464 log 22872 6136754176 Unauthorized: /api/v1/results/stats/
WARNING 2025-09-25 07:33:18,464 basehttp 22872 6153580544 "GET /api/v1/devices/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,465 basehttp 22872 6170406912 "GET /api/v1/tasks/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,465 basehttp 22872 6136754176 "GET /api/v1/results/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,466 log 22872 13052751872 Unauthorized: /api/v1/devices/stats/
WARNING 2025-09-25 07:33:18,467 log 22872 13035925504 Unauthorized: /api/v1/tasks/stats/
WARNING 2025-09-25 07:33:18,468 log 22872 6153580544 Unauthorized: /api/v1/results/stats/
WARNING 2025-09-25 07:33:18,468 basehttp 22872 13069578240 "GET /api/v1/alerts/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,469 log 22872 6170406912 Unauthorized: /api/v1/alerts/stats/
WARNING 2025-09-25 07:33:18,469 basehttp 22872 13035925504 "GET /api/v1/tasks/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,469 basehttp 22872 13052751872 "GET /api/v1/devices/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,470 basehttp 22872 6153580544 "GET /api/v1/results/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,470 basehttp 22872 6170406912 "GET /api/v1/alerts/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,581 log 22872 6170406912 Unauthorized: /api/v1/devices/stats/
WARNING 2025-09-25 07:33:18,582 log 22872 6153580544 Unauthorized: /api/v1/tasks/stats/
WARNING 2025-09-25 07:33:18,583 log 22872 13035925504 Unauthorized: /api/v1/alerts/stats/
WARNING 2025-09-25 07:33:18,584 log 22872 13052751872 Unauthorized: /api/v1/results/stats/
WARNING 2025-09-25 07:33:18,585 basehttp 22872 13035925504 "GET /api/v1/alerts/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,587 log 22872 13035925504 Unauthorized: /api/v1/results/stats/
WARNING 2025-09-25 07:33:18,588 log 22872 6136754176 Unauthorized: /api/v1/devices/stats/
WARNING 2025-09-25 07:33:18,588 basehttp 22872 13052751872 "GET /api/v1/results/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,588 basehttp 22872 6170406912 "GET /api/v1/devices/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,589 basehttp 22872 6153580544 "GET /api/v1/tasks/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,590 log 22872 13069578240 Unauthorized: /api/v1/tasks/stats/
WARNING 2025-09-25 07:33:18,591 basehttp 22872 13035925504 "GET /api/v1/results/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,591 basehttp 22872 6136754176 "GET /api/v1/devices/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,592 log 22872 13052751872 Unauthorized: /api/v1/alerts/stats/
WARNING 2025-09-25 07:33:18,592 basehttp 22872 13069578240 "GET /api/v1/tasks/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,594 basehttp 22872 13052751872 "GET /api/v1/alerts/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,700 log 22872 13052751872 Unauthorized: /api/v1/devices/stats/
WARNING 2025-09-25 07:33:18,700 log 22872 13069578240 Unauthorized: /api/v1/tasks/stats/
WARNING 2025-09-25 07:33:18,701 log 22872 6136754176 Unauthorized: /api/v1/alerts/stats/
WARNING 2025-09-25 07:33:18,701 log 22872 13035925504 Unauthorized: /api/v1/results/stats/
WARNING 2025-09-25 07:33:18,701 basehttp 22872 13052751872 "GET /api/v1/devices/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,701 basehttp 22872 13069578240 "GET /api/v1/tasks/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,703 log 22872 6153580544 Unauthorized: /api/v1/devices/stats/
WARNING 2025-09-25 07:33:18,704 log 22872 6170406912 Unauthorized: /api/v1/tasks/stats/
WARNING 2025-09-25 07:33:18,705 basehttp 22872 6136754176 "GET /api/v1/alerts/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,705 basehttp 22872 13035925504 "GET /api/v1/results/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,706 log 22872 13069578240 Unauthorized: /api/v1/alerts/stats/
WARNING 2025-09-25 07:33:18,707 log 22872 6136754176 Unauthorized: /api/v1/results/stats/
WARNING 2025-09-25 07:33:18,708 basehttp 22872 6153580544 "GET /api/v1/devices/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,708 basehttp 22872 6170406912 "GET /api/v1/tasks/stats/ HTTP/1.1" 401 179
WARNING 2025-09-25 07:33:18,708 basehttp 22872 6136754176 "GET /api/v1/results/stats/ HTTP/1.1" 401 179
